company_id,sales,net_profit,eps,opm_percentage,net_profit_margin,borrowings,total_assets,debt_ratio,asset_turnover,sales_cagr,profit_cagr,roa,earnings_yield,operating_margin_ratio
BHEL,23893,282,1.0,3.0,1.180262001423011,9128,61793,14.771899729742852,0.3866619196349101,-6.3,-25.02,0.45636237114236244,0.0041853262461808895,3.0
AXISBANK,109369,24861,81.0,11952.0,22.73130411725443,1295302,1518239,85.31608001111815,0.0720367478374617,13.49,15.33,1.6374892227113123,0.074061205643281,11952.0
BAJAJHLDNG,1702,7365,653.0,92.0,432.7262044653349,47,72533,0.0647980919029958,0.0234651813657231,15.86,13.35,10.1539988694801,38.366627497062275,92.0
BAJAJFINSV,110382,15595,51.0,37.0,14.128209309488865,318675,601195,53.00692786866158,0.1836043213932251,26.87,19.42,2.5940002827701494,0.0462031853019514,37.0
BHARTIARTL,149982,8558,13.0,52.0,5.706018055499993,225541,460982,48.92620536159764,0.3253532675896239,6.26,12.84,1.8564716192823147,0.008667706791481645,52.0
BEL,20268,3985,5.0,25.0,19.661535425300965,78,225,34.66666666666667,90.08,11.25,14.36,1771.1111111111113,0.024669429642786657,25.0
BANKBARODA,118379,18869,36.0,4102.0,15.93948250956673,1453761,1654775,87.85248749830036,0.0715378223625568,11.31,13.19,1.1402758683204666,0.030410799212698198,4102.0
BAJFINANCE,54972,14451,233.0,19987.0,26.287928399912687,324218,420656,77.0743790650793,0.1306816020691491,29.43,36.17,3.4353485983796737,0.4238521429091173,19987.0
BAJAJ-AUTO,44870,7708,276.0,20.0,17.178515712057056,5245,45842,11.441472885127176,0.978796736617076,7.61,8.53,16.81427511888661,0.6151103186984622,20.0
VEDL,143727,7539,11.0,25.0,5.245360996889937,79808,205175,38.897526501766784,0.7005093213110759,43.29,11.48,3.674424271962958,0.0076533984567965655,25.0
ATGL,4475,668,6.0,25.0,14.927374301675975,1457,6842,21.294942999123062,0.6540485238234435,21.75,26.63,9.763227126571177,0.1340782122905028,25.0
ASIANPAINT,35495,5558,57.0,21.0,15.658543456824903,2516,29474,8.536337110673815,1.2042817398385015,11.71,15.31,18.857297957521883,0.16058599802789125,21.0
DABUR,12404,1811,10.0,19.0,14.600128990648178,1752,16373,10.700543577841568,0.7575887131252672,6.6,8.14,11.06089293348806,0.08061915511125443,19.0
DIVISLAB,7845,1600,60.0,28.0,20.39515615041428,8,15586,0.0513281149749775,0.5033363274733735,12.51,9.29,10.265622994995509,0.7648183556405354,28.0
COALINDIA,142324,37369,61.0,47971.0,26.25628846856468,7816,249359,3.134436695687744,0.5707594271712672,6.9,7.22,14.986024165961526,0.042859953345886846,47971.0
CIPLA,25774,4154,51.0,6291.0,16.11701714906495,461,34655,1.3302553744048478,0.7437310633386236,10.88,9.41,11.986726302120907,0.1978738263366183,6291.0
ADANIPOWER,50351,20829,54.0,36.0,41.36759945184802,37705,110784,34.034698151357595,0.4544970392836511,20.14,,18.801451473136915,0.10724712518122778,36.0
APOLLOHOSP,19059,935,63.0,13.0,4.905818773282963,7371,19548,37.70718232044199,0.9749846531614488,15.87,10.79,4.783098015142214,0.33055249488430666,13.0
AMBUJACEM,33160,4738,16.0,19.0,14.288299155609169,779,76572,1.017343154155566,0.4330564697278378,10.74,11.44,6.187640390743352,0.04825090470446321,19.0
ADANIGREEN,9220,1260,7.0,79.0,13.665943600867678,67430,98258,68.62545543365425,0.0938345987095198,51.56,,1.2823383337743492,0.07592190889370933,79.0
ZOMATO,12114,351,0.0,0.0,2.897473997028232,1159,25205,4.59829398928784,0.4806189248165046,72.11,,1.3925808371354889,0.0,0.0
WIPRO,89760,11112,11.0,19.0,12.379679144385026,19282,125552,15.357780043328662,0.7149229004715177,8.28,5.48,8.8505161208105,0.012254901960784314,19.0
ADANIPORTS,26711,8104,38.0,58.0,30.339560480700836,50485,126015,40.06269094949014,0.2119668293457128,20.05,15.64,6.430980438836646,0.14226348695294072,58.0
ADANIENT,96421,3335,28.0,12.0,3.458790097592848,80427,181768,44.24706218916421,0.5304619074864663,6.88,9.59,1.8347563927644028,0.029039317161199323,12.0
